Experiment ID,Measurement No.,Group ID,Animal ID,wW/g,TL/mm
1,1,control,1,0.1303,19.8987
1,1,control,2,0.1976,22.4787
1,1,control,3,0.1352,20.0943
1,1,control,4,0.1168,20.3070
1,1,control,5,0.0736,15.9133
1,1,control,6,0.1411,19.8257
1,1,control,7,0.1396,20.4713
1,1,control,8,0.2279,23.7637
1,1,control,9,0.1167,19.2153
1,1,control,10,0.1426,20.0230
1,1,control,11,0.131,19.4157
1,1,control,12,0.1211,18.8650
1,1,control,13,0.269,25.2430
1,1,control,14,0.1653,20.9997
1,1,control,15,0.1238,19.2227
1,1,7500,16,0.0990,17.3187
1,1,7500,17,0.1517,20.8043
1,1,7500,18,0.0910,17.2647
1,1,7500,19,0.1149,18.6360
1,1,7500,20,0.1269,18.4430
1,1,7500,21,0.1275,19.5377
1,1,7500,22,0.1066,18.0907
1,1,7500,23,0.1223,18.4583
1,1,7500,24,0.1112,18.6700
1,1,7500,25,0.1525,20.3887
1,1,7500,26,0.2621,24.9827
1,1,7500,27,0.1210,18.9900
1,1,7500,28,0.1395,20.3430
1,1,7500,29,0.1366,19.9660
1,1,7500,30,0.1230,18.9693
1,1,7500,46,0.0812,17.0833
1,1,7500,47,0.1070,18.3643
1,1,7500,48,0.0926,16.9450
1,1,7500,49,0.0909,16.5490
1,1,7500,50,0.1604,20.7907
1,1,15000,31,0.1156,18.6160
1,1,15000,32,0.1188,19.1800
1,1,15000,33,0.2578,24.9670
1,1,15000,34,0.1138,18.9087
1,1,15000,35,0.1112,18.1537
1,1,15000,36,0.1459,20.1890
1,1,15000,37,0.1570,20.7453
1,1,15000,38,0.1633,21.4883
1,1,15000,39,0.1216,18.9270
1,1,15000,40,0.1285,20.0060
1,1,15000,41,0.312,25.8127
1,1,15000,42,0.1545,20.6580
1,1,15000,43,0.121,19.6907
1,1,15000,44,0.097,17.5907
1,1,15000,45,0.1268,19.2543
1,1,15000,51,0.1364,19.9823
1,1,15000,52,0.1567,21.1070
1,1,15000,53,0.2847,24.7830
1,1,15000,54,0.0892,16.4657
1,1,15000,55,0.0716,16.0370
1,2,control,1,0.1746,21.451
1,2,control,2,0.2093,23.351
1,2,control,3,0.1837,21.772
1,2,control,4,0.1503,20.645
1,2,control,5,0.1081,18.118
1,2,control,6,0.1838,22.131
1,2,control,7,0.1938,22.477
1,2,control,8,0.2395,23.292
1,2,control,9,0.1272,19.241
1,2,control,10,0.1565,20.625
1,2,control,11,0.1747,21.483
1,2,control,12,0.1649,21.337
1,2,control,13,0.2887,25.663
1,2,control,14,0.2146,22.875
1,2,control,15,0.1559,20.940
1,2,7500,16,0.1337,19.739
1,2,7500,17,0.2009,22.520
1,2,7500,18,0.1219,19.286
1,2,7500,19,0.1653,21.411
1,2,7500,20,0.1586,20.812
1,2,7500,21,0.1335,20.091
1,2,7500,22,0.1392,20.066
1,2,7500,23,0.1547,20.402
1,2,7500,24,0.1486,20.235
1,2,7500,25,0.1514,20.346
1,2,7500,26,0.2758,25.148
1,2,7500,27,0.1635,20.838
1,2,7500,28,0.191,22.258
1,2,7500,29,0.1854,21.384
1,2,7500,30,0.0833,21.238
1,2,7500,46,0.2108,18.639
1,2,7500,47,0.1351,19.706
1,2,7500,48,0.1273,19.430
1,2,7500,49,0.1158,19.173
1,2,7500,50,0.1685,20.973
1,2,15000,31,0.1549,20.413
1,2,15000,32,0.1274,19.116
1,2,15000,33,0.2714,24.525
1,2,15000,34,0.1460,20.374
1,2,15000,35,0.1387,19.762
1,2,15000,36,0.1868,21.691
1,2,15000,37,0.2006,22.992
1,2,15000,38,0.2027,22.381
1,2,15000,39,0.1495,20.768
1,2,15000,40,0.1629,21.311
1,2,15000,41,0.3106,25.979
1,2,15000,42,0.1931,22.064
1,2,15000,43,0.1587,20.370
1,2,15000,44,0.1287,19.081
1,2,15000,45,0.1680,21.184
1,2,15000,51,0.1724,21.497
1,2,15000,52,0.2086,22.193
1,2,15000,53,0.278,24.622
1,2,15000,54,0.1202,18.211
1,2,15000,55,NA,NA
1,3,control,1,0.1781,21.5657
1,3,control,2,0.2660,24.8227
1,3,control,3,0.1778,22.2413
1,3,control,4,0.1972,22.7040
1,3,control,5,0.1154,18.9357
1,3,control,6,0.1859,22.7527
1,3,control,7,0.1970,22.1810
1,3,control,8,0.2926,26.1390
1,3,control,9,0.1617,20.8710
1,3,control,10,0.1951,22.2347
1,3,control,11,0.1857,22.3690
1,3,control,12,0.1822,21.3417
1,3,control,13,0.2804,24.8407
1,3,control,14,0.2256,22.8147
1,3,control,15,0.2173,23.6980
1,3,7500,16,0.1653,21.4187
1,3,7500,17,0.2051,23.0893
1,3,7500,18,0.1653,21.7633
1,3,7500,19,0.1957,23.2010
1,3,7500,20,0.1547,21.3803
1,3,7500,21,0.1528,20.7030
1,3,7500,22,0.1654,21.3923
1,3,7500,23,0.1554,21.2623
1,3,7500,24,0.1477,20.3720
1,3,7500,25,0.1897,22.6547
1,3,7500,26,0.2728,25.2347
1,3,7500,27,0.1686,21.3023
1,3,7500,28,0.1866,22.3547
1,3,7500,29,0.2481,24.0623
1,3,7500,30,0.2118,23.3963
1,3,7500,46,0.1593,20.7903
1,3,7500,47,0.1821,22.0543
1,3,7500,48,0.1695,21.2713
1,3,7500,49,0.152,21.1680
1,3,7500,50,0.2173,23.1993
1,3,15000,31,0.1883,22.9237
1,3,15000,32,NA,NA
1,3,15000,33,0.303,26.3550
1,3,15000,34,0.1498,20.1623
1,3,15000,35,0.1624,21.3073
1,3,15000,36,0.182,21.7017
1,3,15000,37,0.199,22.7393
1,3,15000,38,0.2001,22.2247
1,3,15000,39,0.1814,22.4777
1,3,15000,40,0.1633,21.1500
1,3,15000,41,0.3503,27.1567
1,3,15000,42,0.235,23.6590
1,3,15000,43,0.162,20.6713
1,3,15000,44,0.1763,21.8120
1,3,15000,45,0.2049,22.9730
1,3,15000,51,0.1774,21.4323
1,3,15000,52,0.2054,23.0400
1,3,15000,53,0.3229,26.1893
1,3,15000,54,0.1558,20.3500
1,3,15000,55,NA,NA
1,4,control,1,0.2323,23.732
1,4,control,2,0.2782,25.140
1,4,control,3,0.2378,23.981
1,4,control,4,0.1978,22.804
1,4,control,5,0.1425,20.156
1,4,control,6,0.2508,24.398
1,4,control,7,0.2494,24.744
1,4,control,8,0.3094,26.132
1,4,control,9,0.2099,23.854
1,4,control,10,0.2032,22.659
1,4,control,11,0.2331,24.158
1,4,control,12,0.2116,23.802
1,4,control,13,0.3536,27.603
1,4,control,14,0.2778,25.021
1,4,control,15,0.2150,23.369
1,4,7500,16,0.1813,22.017
1,4,7500,17,0.2076,22.887
1,4,7500,18,0.1693,21.585
1,4,7500,19,0.2035,23.332
1,4,7500,20,0.1968,22.793
1,4,7500,21,0.2026,23.085
1,4,7500,22,0.174,21.602
1,4,7500,23,0.198,22.921
1,4,7500,24,0.1807,22.168
1,4,7500,25,0.1897,22.681
1,4,7500,26,0.2087,27.243
1,4,7500,27,0.2105,23.157
1,4,7500,28,0.2392,24.577
1,4,7500,29,0.2415,24.503
1,4,7500,30,0.2313,23.668
1,4,7500,46,0.1582,20.868
1,4,7500,47,0.1755,21.718
1,4,7500,48,0.1703,21.585
1,4,7500,49,0.1544,21.052
1,4,7500,50,0.2094,23.380
1,4,15000,31,0.1958,22.752
1,4,15000,32,NA,NA
1,4,15000,33,0.3114,26.502
1,4,15000,34,0.1881,22.890
1,4,15000,35,0.2032,22.883
1,4,15000,36,0.2375,24.356
1,4,15000,37,0.2615,24.936
1,4,15000,38,0.2517,24.933
1,4,15000,39,0.184,23.042
1,4,15000,40,0.2099,23.371
1,4,15000,41,0.3503,27.579
1,4,15000,42,0.2441,24.270
1,4,15000,43,0.1904,22.522
1,4,15000,44,0.2129,23.391
